no,exit,type,epochs,accuracy,timec,timel
196,7,4,80,0.7,1354.24,2083.70
197,7,4,90,0.7,1523.53,2344.16
198,7,4,100,0.69,1692.81,2604.63
199,8,2,20,0.76,521.64,560.38
200,8,2,30,0.76,782.46,840.58
201,8,2,40,0.75,1043.27,1120.77
202,8,2,50,0.75,1304.09,1400.96
203,8,2,60,0.76,1564.91,1681.15
204,8,2,70,0.76,1825.73,1961.35
205,8,2,80,0.76,2086.55,2241.54
206,8,2,90,0.76,2347.37,2521.73
207,8,2,100,0.76,2608.19,2801.92
208,8,3,20,0.76,197.48,266.83
209,8,3,30,0.76,296.22,400.24
210,8,3,40,0.76,394.96,533.66
211,8,3,50,0.76,493.7,667.07
212,8,3,60,0.76,592.44,800.49
213,8,3,70,0.76,691.18,933.9
214,8,3,80,0.76,789.93,1067.32
215,8,3,90,0.76,888.67,1200.73
216,8,3,100,0.76,987.41,1334.15
217,8,4,20,0.69,365.68,577.35
218,8,4,30,0.68,548.51,866.03
219,8,4,40,0.69,731.35,1154.70
220,8,4,50,0.69,914.19,1443.38
221,8,4,60,0.69,1097.03,1732.05
222,8,4,70,0.69,1279.87,2020.73
223,8,4,80,0.68,1462.71,2309.40
224,8,4,90,0.7,1645.54,2598.08
225,8,4,100,0.7,1828.38,2886.75
